name,categories,lat,lng
Kiva,Lounge,18.538458921457806,73.83686293507155
JW Marriott Hotel Pune,Hotel,18.5324152,73.8297728
Spice Kitchen,Asian Restaurant,18.531886864925845,73.82957091082835
Taareef,Indian Restaurant,18.556076771010513,73.80912043821498
Picantos Mexican Grill,Mexican Restaurant,18.560654041998944,73.81244739763484
Idlicious,South Indian Restaurant,18.561765019102616,73.78364615844218
Aaoji Khhaoji,Indian Restaurant,18.56265703054219,73.82931038865844
Paasha,Lounge,18.53207679304871,73.82956401247087
Nature's Basket,Grocery Store,18.563791260064082,73.80744259964197
Tsaai Shen Yeh,Chinese Restaurant,18.5519964049449,73.79311001692894
Kimling,Chinese Restaurant,18.565834369037912,73.80360347430938
Pune Baking Company,Bakery,18.531971811632015,73.82983372978156
Wadeshwar,South Indian Restaurant,18.555531313075644,73.79509606839417
Malaka Spice,Malay Restaurant,18.55947591740865,73.7904085891615
Alto Vino,Italian Restaurant,18.53197888529939,73.82979570889925
Domino's Pizza,Pizza Place,18.55645744434366,73.79451551460608
Crossword,Bookstore,18.534814421312817,73.8297701691517
Effingut Brewerkz,Brewery,18.554308771218146,73.79815783996047
Starbucks,Coffee Shop,18.55659485262278,73.80915264466924
Makkhan Maar Ke,Punjabi Restaurant,18.554067229606947,73.8018238901343
Vetal Tekdi,Trail,18.522266437316244,73.81834876387788
Jalebi Junction,Dessert Shop,18.556701575524585,73.79431392843458
Mini Wok,Chinese Restaurant,18.532703912393053,73.83405542211443
Abs Fitness And Wellness Club,Gym,18.535397529843124,73.82993979850535
Kaka Halwai,Dessert Shop,18.560467321619107,73.80646480852052
Delhi Kitchen,Indian Restaurant,18.56349982607965,73.80452458462473
Cafe Peter Donuts,Donut Shop,18.55774038538134,73.80440120069147
Regalia Restaurant And Lounge,Lounge,18.559474160345307,73.7902127027067
Shakahari,Vegetarian / Vegan Restaurant,18.53186512027384,73.82956454603062
Starbucks,Coffee Shop,18.5346313068626,73.82984338712804
Giridhar,Snack Place,18.555695,73.794586
The K Factory,Molecular Gastronomy Restaurant,18.55885450693432,73.79177886024236
Little Italy,Italian Restaurant,18.534828001784856,73.83812201948804
Cream Stone,Ice Cream Shop,18.553448166130234,73.80255142769138
Blues,Pub,18.543604249386306,73.83862888683001
Desi Aroma,Indian Restaurant,18.558095277346872,73.79269645772936
NH 37,Indian Restaurant,18.53853115482067,73.83423913837106
Eatsome,Fast Food Restaurant,18.55850183609694,73.79199243508978
Subway,Sandwich Place,18.529155,73.830866
Cafe Coffee Day,Café,18.564362735673388,73.77908355741718
South Indies,Indian Restaurant,18.535064394049556,73.83839730865662
Yaara Di Haveli,Punjabi Restaurant,18.560873260187908,73.7682512868345
Oriental Connexions,Chinese Restaurant,18.538021566123753,73.83564603949314
Amantran Pure Veg,Restaurant,18.591898545486192,73.83074599712145
cafe coffee day,Coffee Shop,18.586988386004965,73.8330987833624
Zikomo,Indian Restaurant,18.56413210967498,73.78000483139837
Cafe Coffee Day,Café,18.53047280848842,73.8293580474668
The Great Punjab,Indian Restaurant,18.559498679890776,73.79004017896312
Rangla Punjab,Indian Restaurant,18.542539410542897,73.77636750177292
Cafe Coffee Day,Coffee Shop,18.534496982668244,73.8297674887889
Kalyan Bhel,Indian Restaurant,18.556732778778326,73.7943053114073
Rastafa,Italian Restaurant,18.549217289243686,73.77240590968016
cafe coffee day,Coffee Shop,18.530578864852384,73.82944584358319
Falahaar,Juice Bar,18.561298294432703,73.78687494350538
Area 51,Lounge,18.557373828658736,73.7870979309082
Shraavan,Indian Restaurant,18.5304815209921,73.84408591365003
Cafe Durga,Café,18.529933172462222,73.83685728297691
Delhi Down Town,Indian Restaurant,18.529817965989622,73.83594536393156
Miami,Nightclub,18.532031656442765,73.82983294825146
Tales And Spirits,Bistro,18.5307837944114,73.82872334210879
Volare,Restaurant,18.551959042278423,73.792953912913
Café Chokolade,Café,18.55873294052019,73.79166881375707
LSD Love Sugar Dough,Dessert Shop,18.53286341493285,73.84205307079452
Tawaah,Food Court,18.544473520193975,73.78070349923101
Mast Kalandar,Indian Restaurant,18.557354531226007,73.7936095208775
Natural Icecream,Ice Cream Shop,18.558341195565667,73.79239151036417
Shiv Sagar Veg,Indian Restaurant,18.559197524794882,73.79075568064692
Ashok hotel,Snack Place,18.586189811849145,73.8329896556364
Cafe F5,Café,18.551890343983636,73.79314283633965
The Chocolate Room,Dessert Shop,18.509691206129006,73.81362140293946
Hidden Place - The Hangout,Pub,18.509107380632898,73.81227999661668
Four Seasons Restaurant and Bar,Indian Restaurant,18.503703479883818,73.82142888670693
Endurance Fitness Club,Gym / Fitness Center,18.49923478118509,73.8211173481927
Le Petite Amour,French Restaurant,18.500079160790044,73.81405297071419
Cheezy Bites,Café,18.508484555988723,73.82236999541298
Cafe Coffee Day,Café,18.500139500489336,73.814253581129
IDDOS,South Indian Restaurant,18.510441175381686,73.81644541010897
Khatris Ice Cream And Mastani,Ice Cream Shop,18.489994934303883,73.82609268725957
Pastry Corner,Bakery,18.50891985125201,73.83056534907344
Naturals Icecream,Ice Cream Shop,18.502131151739757,73.81583585824387
Nisarg (निसर्ग),Seafood Restaurant,18.50673697431568,73.8320165290297
Club Solaris,Gym / Fitness Center,18.505787702309885,73.81968902388618
Le Plaisir,Bistro,18.51420497479481,73.83855092544634
Pu La Deshpande Garden,Garden,18.49306197499458,73.8358786482728
Natural IceCream,Dessert Shop,18.5142516060051,73.78238738798127
Foods corner,Food Court,18.508231164880495,73.80618663976394
Aasing's Kitchen,Burger Joint,18.514029983480278,73.82874953293054
Café GoodLuck,Café,18.5173883002662,73.8414854187446
Subway,Sandwich Place,18.507147887723328,73.80382742322936
Panchvati Gaurav,Indian Restaurant,18.51787902732216,73.83862257779535
Ranade Tapri,Fast Food Restaurant,18.518439123214733,73.84118200709439
Sujata Mastani,Dessert Shop,18.501906169419435,73.81586314664574
P K Biryani,Indian Restaurant,18.492513364457416,73.82852570562707
Sudit Su's Chinese,Chinese Restaurant,18.495267323913957,73.812487704967
Mirch Masala,Indian Restaurant,18.493548696997465,73.81403641572999
Ganesh Bhel,Chaat Place,18.50014825818537,73.82668734280797
One Way Foods,Fast Food Restaurant,18.495559692382812,73.8110122680664
Tilak Hotel,Snack Place,18.50960261815985,73.84688277838784
Richie's,Bakery,18.519495119551646,73.77866206464292
Gelato Italiano,Ice Cream Shop,18.50324558129647,73.81949200623144
Cafe Cofee Day,Café,18.508026286758323,73.83163630795073
McDonald's,Fast Food Restaurant,18.50790844458206,73.79653085601878
Barbeque Nation,BBQ Joint,18.516237355048084,73.84222283288595
Hotel Roopali,Indian Restaurant,18.519342952744918,73.84133382675628
Krishna Juice Bar,Juice Bar,18.52355342051691,73.84765077882606
Mad Over Donuts,Donut Shop,18.519335111404256,73.84531961315069
Bipin Snacks And Juice Bar,Snack Place,18.513013126098517,73.83992106106976
Flavours,Sandwich Place,18.51893083023205,73.84140902977073
Casa Lolo,Deli / Bodega,18.51693034172058,73.83394002914429
Mohan Ice Cream,Ice Cream Shop,18.520619663670587,73.84606955610744
Sujata Mastani,Ice Cream Shop,18.511792754341577,73.85214493967393
Manisha Bhel Panipuri Snacks Center,Snack Place,18.493215030926333,73.82562561652861
Khandesh,Indian Restaurant,18.508374712783354,73.79220786321342
Raja Dinkar Kelkar museum,History Museum,18.510743623888896,73.85438919067383
Shree Wadeshwar Bhuvan,Vegetarian / Vegan Restaurant,18.510752727983352,73.85374824193698
Vaishali | वैशाली,South Indian Restaurant,18.52090576092219,73.84128332227108
Richies Cake shop,Bakery,18.519462438116246,73.77907321620015
Bhagat Tarachand,Indian Restaurant,18.514332265559556,73.85131729012238
Shabree,Indian Restaurant,18.52459075247133,73.8416670504523
The Breakfast Cafe,Café,18.52337427516029,73.78048739579573
By The Way,Italian Restaurant,18.525058508695786,73.84154053093603
Subway,Sandwich Place,18.51924382142252,73.7786081340979
Katakirr Misal,Snack Place,18.51137166374587,73.8336714487756
Shahji's Paratha House,Vegetarian / Vegan Restaurant,18.52260120168244,73.84441289536777
Amruteshwar,Fast Food Restaurant,18.508532197249476,73.83092588213361
Fish Curry Rice,Seafood Restaurant,18.51641491600367,73.85093360732121
Cocoberry,Frozen Yogurt Shop,18.520363094135984,73.84116377766922
Hotel Madhuban,Tea Room,18.519248295410485,73.84868804177536
Vaishnavi Snacks,Snack Place,18.51229713072037,73.78214364272382
Masemari,Seafood Restaurant,18.505643889009608,73.85227656568195
Badshahi Mess,Indian Restaurant,18.508755414267316,73.84897126474321
Taljai Tekadi,Mountain,18.481998566387208,73.84788790409162
Sukanta,Vegetarian / Vegan Restaurant,18.51694169413758,73.84428399256002
Cafe Coffee Day,Café,18.508349077227138,73.790044135898
Subhadra Restaurant,Indian Restaurant,18.519195658929494,73.84497365296683
Sai Service Bajaj,Motorcycle Shop,18.52225999753082,73.85018514373338
P.N. GADGIL & CO.,Jewelry Store,18.51448373993062,73.85217361271135
Parvati,Trail,18.498190564461044,73.84958786400306
Ganraj Restaurant,Vegetarian / Vegan Restaurant,18.509120894706307,73.85364690561192
Domino's Pizza,Pizza Place,18.496379895360494,73.8387044212696
Club Oasis,Indian Restaurant,18.49795141631003,73.78780912593396
Janjira Hotel,Indian Restaurant,18.509113911280735,73.84372031997646
Cafe Coffee Day,Coffee Shop,18.508258085706352,73.78281722835911
Aware Maratha Khanawal,Indian Restaurant,18.512948403914418,73.84519971682283
cafe coffee day,Coffee Shop,18.478795004304093,73.8035774230957
Saffron,Indian Restaurant,18.507729238653617,73.84420581641643
Cream California,Dessert Shop,18.519603551759623,73.84128340271279
Domino's Pizza,Pizza Place,18.47741478734879,73.82355658057669
Café Coffee Day,Coffee Shop,18.5231306426117,73.84834705709581
Wadeshwar,Vegetarian / Vegan Restaurant,18.518656145726464,73.84148287858373
Darshan foods,Vegetarian / Vegan Restaurant,18.51402082342707,73.84097794716021
The Chocolate Room,Coffee Shop,18.518450934654,73.84157442251627
Shivsagar,Restaurant,18.520151692146218,73.84589420653944
Janaseva Bhojanalaya,Indian Restaurant,18.515952515103418,73.84241580963135
Poona Boarding House,Diner,18.51156382958739,73.84877234452432
Boteco,Brazilian Restaurant,18.534252233706862,73.89929724785704
Malaka Spice,Asian Restaurant,18.537518673312757,73.89771858071614
the French Window Patisserie,Bakery,18.537709,73.89799
Naughty Angel Cafe,Café,18.53655621774967,73.89966370382655
Savya Rasa,South Indian Restaurant,18.53887406264487,73.8865607199056
Conrad Pune,Hotel,18.535019901932454,73.88305602024062
La Pizzeria,Italian Restaurant,18.539621085556846,73.88340065713508
The Yogi Tree,Indian Restaurant,18.541224732843972,73.88771981420507
The Sassy Spoon,Restaurant,18.53403889386197,73.89880001773702
Dario's Restaurant,Italian Restaurant,18.537206767573423,73.88881333674352
Forrenté,Bakery,18.5365254800532,73.89938097317354
Murphies,Bistro,18.536631496404564,73.89867530193897
Hidden Place - The Hangout,Pub,18.539651495140603,73.88702296368126
Kiva,Lounge,18.533949601126984,73.89868182469279
Squisito,Italian Restaurant,18.536394997196474,73.89719285787717
Vivanta by Taj - Blue Diamond,Hotel,18.538479258585582,73.88629047698636
Suonmoi Chinese Restaurant,Chinese Restaurant,18.537519061853448,73.87984084727901
High Spirits,Pub,18.539401171354097,73.9046561596058
Gajalee,Seafood Restaurant,18.527477945365064,73.87821504932214
Hidden Place - The Crazy Frog,Pub,18.536545723812523,73.87539379659546
Little Italy,Italian Restaurant,18.53959814741138,73.88346389148616
Himalaya Momos,Dim Sum Restaurant,18.538472346984662,73.89867833397324
Sandwich Exp,Sandwich Place,18.53928618318418,73.89898377448094
